,precision,recall,f1-score,support
B-LOCATION,0.8172299779573843,0.6206752232142857,0.7055185537583253,7168.0
I-LOCATION,0.8267504488330341,0.6610047846889953,0.7346450412124436,12540.0
micro avg,0.8234001292824822,0.6463365130911305,0.724202626641651,19708.0
macro avg,0.8219902133952092,0.6408400039516404,0.7200817974853844,19708.0
weighted avg,0.8232877567670376,0.6463365130911305,0.7240514415538725,19708.0
,precision,recall,f1-score,support
B-LOCATION,0.8137989778534923,0.6998242015821857,0.7525204788909893,6826.0
I-LOCATION,0.8198374318345509,0.6644429619746498,0.7340058035097415,11992.0
micro avg,0.8175636666880493,0.6772770751408226,0.7408376202516929,18818.0
macro avg,0.8168182048440216,0.6821335817784178,0.7432631412003654,18818.0
weighted avg,0.8176470562965179,0.6772770751408226,0.7407217762035665,18818.0
,precision,recall,f1-score,support
B-LOCATION,0.8090258668134287,0.6830855018587361,0.7407407407407407,6456.0
I-LOCATION,0.7995356037151703,0.6408756536382167,0.7114675062724455,11283.0
micro avg,0.8031045187995861,0.6562376684142285,0.7222808214928337,17739.0
macro avg,0.8042807352642996,0.6619805777484764,0.726104123506593,17739.0
weighted avg,0.8029895266286579,0.6562376684142285,0.7221213200008019,17739.0
,precision,recall,f1-score,support
B-LOCATION,0.8142272262026612,0.7037746977292834,0.7549826004428978,6782.0
I-LOCATION,0.8275136726966765,0.6687064422913479,0.7396822412334305,11766.0
micro avg,0.8224463240078074,0.6815290058227302,0.7453859307742202,18548.0
macro avg,0.8208704494496688,0.6862405700103156,0.7473324208381642,18548.0
weighted avg,0.8226555381203119,0.6815290058227302,0.7452767547205238,18548.0
,precision,recall,f1-score,support
B-LOCATION,0.8168764403474561,0.7006233845218185,0.7542969389425438,6577.0
I-LOCATION,0.8340582862113962,0.6655675112808053,0.7403474903474903,11524.0
micro avg,0.8275257801442341,0.678305066018452,0.7455218896107838,18101.0
macro avg,0.8254673632794262,0.6830954479013118,0.747322214645017,18101.0
weighted avg,0.8278152609505193,0.678305066018452,0.7454160237660675,18101.0
,precision,recall,f1-score,support
B-LOCATION,0.8179513184584178,0.7015076833864888,0.7552676759793975,6898.0
I-LOCATION,0.8253871230643847,0.6767457400601403,0.7437121351202497,11972.0
micro avg,0.8225908975336893,0.6857975622681505,0.7479914455811802,18870.0
macro avg,0.8216692207614013,0.6891267117233146,0.7494899055498236,18870.0
weighted avg,0.8226689365157912,0.6857975622681505,0.747936306866217,18870.0
,precision,recall,f1-score,support
B-LOCATION,0.8104786545924968,0.7019607843137254,0.7523266286400481,7140.0
I-LOCATION,0.8151036322593884,0.6603491271820449,0.7296105804555473,12030.0
micro avg,0.813308223477715,0.6758476786645801,0.7382336182336182,19170.0
macro avg,0.8127911434259426,0.6811549557478851,0.7409686045477977,19170.0
weighted avg,0.8133810271189812,0.6758476786645801,0.7380713307965664,19170.0
,precision,recall,f1-score,support
B-LOCATION,0.8118746924717074,0.7046263345195729,0.7544581618655694,7025.0
I-LOCATION,0.8255731744268255,0.6709899852241011,0.7402979667617624,12182.0
micro avg,0.8203525440680085,0.6832925495912948,0.7455759125124272,19207.0
macro avg,0.8187239334492664,0.6878081598718371,0.7473780643136658,19207.0
weighted avg,0.8205629263019386,0.6832925495912948,0.7454770874263246,19207.0
,precision,recall,f1-score,support
B-LOCATION,0.8057426444523219,0.6927765925022858,0.7450016388069485,6562.0
I-LOCATION,0.8104101287739423,0.6537185754189944,0.7236797603517419,11456.0
micro avg,0.8086407310354096,0.667943167943168,0.7315887055104708,18018.0
macro avg,0.8080763866131321,0.6732475839606401,0.7343406995793451,18018.0
weighted avg,0.8087102712915095,0.667943167943168,0.7314450043534662,18018.0
,precision,recall,f1-score,support
B-LOCATION,0.8156772129399218,0.7039423224420923,0.7557019349526555,6519.0
I-LOCATION,0.8282335069444444,0.6686229852838121,0.739918573090345,11416.0
micro avg,0.8234739253469883,0.6814608307778087,0.7457668487048845,17935.0
macro avg,0.8219553599421832,0.6862826538629523,0.7478102540215003,17935.0
weighted avg,0.8236695548610609,0.6814608307778087,0.7456554973156253,17935.0
,precision,recall,f1-score,support
B-LOCATION,0.8110683832135095,0.7073490813648294,0.755666329153361,6858.0
I-LOCATION,0.8101474682891616,0.6703643655602014,0.7336570788195742,11719.0
micro avg,0.8104987881107284,0.6840178715616084,0.7419062910524012,18577.0
macro avg,0.8106079257513356,0.6888567234625154,0.7446617039864676,18577.0
weighted avg,0.8104874389276489,0.6840178715616084,0.7417821495408484,18577.0
